Ancient Enemy;ancient_enemy;A Character with this Special Rule re-rolls 1s To Wound when fighting in combat against X Characters.
Ancient Chaos;ancient_chaos;Any enemy Character within 18 m of this Character suffers a -1 penalty to its Courage. Note, this is not cumulative with other similar penalties such as those provided by Goblin Drums, the Harbinger of Evil special rule and so on.
Arcane Sense;arcane_sense;"The Character automatically understands any magical effect if it is easy to do so; if it's Master in Scholar Acumen, it automatically understands non basic magical effects; if it’s Legendary, it understands complex magical effects."
Arise Riders;arise_riders;If this Character is Cavalry and is within 12 m of an Anteran Lord, it receives +1 to its Fight value on a Round in which it Charges.
Arm Wound;arm_wound;From this point on, this Character cannot carry a shield, wield a two-handed weapon, use a hand-and-a-half weapon two handed, or fire a bow or crossbow of any sort (though it may still use throwing weapons). It may only use single handed weapons from this point forward.
Assurance (X);assurance;This Character may forgo the roll in Tests related to the Skill X. If it forgoes the roll, the Score becomes 4 times the number of dice the Character would roll.
Automatic Knowledge (X);automatic_knowledge;Any Character with this Special Rule automatically gets a 6 in all dice in any Knowledge Test to recall information related to the Skill X.
Backstabber;backstabber;This Character receives +1 to its To Wound rolls when making Strikes against a Trapped character. This bonus is cumulative with other bonuses, such as using a two-handed weapon.
Bane of Kings / Venom;bane_of_kings_venom;This Character must re-roll all failed To Wound rolls when making Strikes in close combat.
Bane Weapon (X);bane_weapon;Bane weapons cause D3 Wounds rather than 1, per successful Strike, against X Characters.
Battle Cry;battle_cry;This Character may attempt to freely Demoralise a foe at the start of the first round of combat. Furthermore, if it is Legendary in Intimidation, Demoralise takes a Reaction instead of a Fast Action.
Battle Medicine;battle_medicine;"This Character may take a Fast Action attempting to heal a Wound suffered by itself or another adjacent friendly Character in combat during the current or previous rounds. The Character rolls a Treat Wounds (Medical Treatment) Test, and applies the following results:
 Critical Success: The target recovers up to 2 Wounds; Success: The target recovers 1 Wound; Failure: No effect; Critical Failure: The target loses 1 Wound."
Battle Veteran;battle_veteran;This Character may replace any dice for a 6 in any Knowledge or Reason Tests related to warfare.
Bestial Charge;bestial_charge;This Character gains the Knock to the Ground and Extra Attack bonuses when it charges, exactly as if it was a Cavalry model.
Bizarre Magic;bizarre_magic;The Magical Powers of this character cannot be identified by others.
Blade Master;blade_master;This Character may re-roll a D6 when making a Duel roll.
Blade of the Dead;blade_of_the_dead;To Wound Strikes made by this Character use its opponent's Courage rather than its Defence on the Wound chart. Characters with this special rule cannot use Special Strikes.
Blessing of the Sidhe;blessing_of_the_sidhe;Each time this Character suffers a Wound, roll a D6. On a 6, the Wound is ignored exactly as if 1 point of Fate had been spent.
Blood and Glory;blood_and_glory;If this Character kills an enemy Hero in a Fight, it immediately regains a single point of Might spent earlier in the combat.
Bodyguard;bodyguard;This Character may choose to Bodyguard another Character. As long as the bodyguarded Character is alive and in the combat, this Character passes all Courage tests. This Character may change its Bodyguard target whilst out of combat.
